chain,chain_id,symbol,name,address,amount,decimals,price_usd,value_usd,pool_size,low_liquidity
optimism,10,USDC,USD Coin,0x0b2c639c533813f4aa9d7837caf62653d097ff85,6100000,6,0.9999999998649435,6.099999999176155,684442.2841612203,
base,8453,USDC,USD Coin,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,5109420,6,0.9999999995797182,5.109419997852603,8243063.745959301,
ethereum,1,GUA,GUA,0x393f1d49425d94f47b26e591a9d111df5cd61065,57776000000000000000000,18,4.592884283311667e-05,2.6535848235261486,20538.4311423848,
base,8453,ETH,,native,1118338502159054,18,2351.2488,2.6294920611952732,,
optimism,10,DAI,Dai Stablecoin,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,2000000000000000000,18,1.001847257099298,2.003694514198596,293673.0841566429,
base,8453,NATO,The Nation Token,0xd968196fa6977c4e58f2af5ac01c655ea8332d22,740000000000000000000000,18,1.8863922028275073e-06,1.3959302300923553,62018.43247220778,
base,8453,SKYA,Sekuya,0x623cd3a3edf080057892aaf8d773bbb7a5c9b6e9,300000000000000000000,18,0.004218309847975944,1.265492954392783,59134.087616507226,
arbitrum,42161,USDC,USD Coin,0xaf88d065e77c8cc2239327c5edb3a432268e5831,1000000,6,0.9999999997258052,0.9999999997258052,17940788.291809697,
ethereum,1,COTI,COTI Token,0xddb3422497e61e13543bea06989c0789117555c5,10341161500000000000,18,0.0833168313598823,0.8615928087608075,189190.73189359708,
ethereum,1,LTD,LivingTheDream,0x1fdb29ad49330b07ae5a87483f598aa6b292039e,333333000000000000000000,18,1.6626246698703266e-06,0.5542076690818856,24056.193676348073,
ethereum,1,MTV,MultiVAC,0x6226e00bcac68b0fe55583b90a1d727c14fab77f,1000000000000000000000,18,0.0004537085727716553,0.4537085727716553,275.9352728100603,True
avalanche_c,43114,AVAX,,native,10000000000000000,18,23.313166,0.23313166,,
base,8453,WETH,Wrapped Ether,0x4200000000000000000000000000000000000006,97606658814919,18,2351.2488,0.22949753941058773,,
ethereum,1,LENDS,Lends,0x2c06ba9e7f0daccbc1f6a33ea67e85bb68fbee3a,400000000000000000000,18,0.0003893633695270819,0.15574534781083277,19018.211059295925,
base,8453,AERO,Aerodrome,0x940181a94a35a4569e4529a3cdfb74e38fd98631,204932922929057261,18,0.7448988127292306,0.1526542909789857,341763.9153729547,
celo,42220,CELO,,native,354565920000000000,18,0.387678,0.13745740673376,,
ethereum,1,TOS,TOSA INU,0x34748fedad669c788aabe4fb325a4587941f7b48,1000000000000000000000000000,18,1.08619759789335e-10,0.108619759789335,31496.066643141086,
gnosis,100,XDAI,,native,100000000000000000,18,1.002091,0.1002091,,
polygon,137,EARNM,EARNM,0xaeb3dd897ade187b9f9e4c491bc7a81f69f7093e,50000000000000000000,18,0.001828748758418502,0.09143743792092511,1256.4626271615743,True
base,8453,BRETT,Brett,0x532f27101965dd16442e59d40670faf5ebb142e4,1000000000000000000,18,0.07768342622776174,0.07768342622776174,1862058.8573929365,
ethereum,1,0xBTC,0xBitcoin Token,0xb6ed7644c69416d67b522e20bc294a9a9b405b31,100000000,8,0.06959773443292627,0.06959773443292627,4454.104437449008,True
ethereum,1,DBTC,Decentralized Bitcoin,0x0c7e25e15e9f6818fa2770107b3ba565470bc8c5,45000000000000000,18,1.4496497446974936,0.06523423851138722,2116.039751807801,True
ethereum,1,ACE,ACENT,0xec5483804e637d45cde22fa0869656b64b5ab1ab,45000000000000000000,18,0.0013270907026353312,0.0597190816185899,268.1360314342276,True
ethereum,1,NINJA,NINJA OF MEME,0x4b82dc6ccb377e6e7bf2f421e2d228983621d3eb,1004000000000000000000,18,4.5788986026212166e-05,0.045972141970317015,42794.854858706814,
bnb,56,BIDZ,BIDZ,0x20de6118c3672659e488d1d45279cdf77391fbdc,47000000000000000000,18,0.0008365189789170005,0.039316392009099026,1649.125239535551,True
ethereum,1,PYRO,PYRO Network,0x14409b0fc5c7f87b5dad20754fe22d29a3de8217,1500000000000000000000,18,2.5948238786037692e-05,0.03892235817905654,129.6512499491737,True
base,8453,LOA,Law of  Attraction,0x8d3419b9a18651f3926a205ee0b1acea1e7192de,30000000000000000000,18,0.0009111950631982603,0.027335851895947807,11565.577098870337,
ethereum,1,SHEESHA,Sheesha Finance,0x232fb065d9d24c34708eedbf03724f2e95abe768,10000000000000000,18,2.6324060326328644,0.026324060326328644,128087.80508994978,
